sample_idx,true_label_encoded,pred_label_encoded,true_label,pred_label,is_correct
0,0,0,normal,normal,True
1,0,0,normal,normal,True
2,0,0,normal,normal,True
3,0,0,normal,normal,True
4,0,0,normal,normal,True
5,0,0,normal,normal,True
6,0,0,normal,normal,True
7,0,0,normal,normal,True
8,0,0,normal,normal,True
9,0,0,normal,normal,True
10,0,0,normal,normal,True
11,0,0,normal,normal,True
12,0,0,normal,normal,True
13,0,0,normal,normal,True
14,0,0,normal,normal,True
15,0,0,normal,normal,True
16,0,0,normal,normal,True
17,0,0,normal,normal,True
18,0,0,normal,normal,True
19,0,0,normal,normal,True
20,0,0,normal,normal,True
21,0,0,normal,normal,True
22,0,0,normal,normal,True
23,0,0,normal,normal,True
24,0,0,normal,normal,True
25,0,0,normal,normal,True
26,0,0,normal,normal,True
27,0,0,normal,normal,True
28,0,0,normal,normal,True
29,0,0,normal,normal,True
30,0,0,normal,normal,True
31,0,0,normal,normal,True
32,0,0,normal,normal,True
33,0,0,normal,normal,True
34,0,0,normal,normal,True
35,0,0,normal,normal,True
36,0,0,normal,normal,True
37,0,0,normal,normal,True
38,0,0,normal,normal,True
39,0,0,normal,normal,True
40,0,0,normal,normal,True
41,0,0,normal,normal,True
42,0,0,normal,normal,True
43,0,0,normal,normal,True
44,0,0,normal,normal,True
45,0,0,normal,normal,True
46,0,0,normal,normal,True
47,0,0,normal,normal,True
48,0,0,normal,normal,True
49,0,0,normal,normal,True
50,0,0,normal,normal,True
51,0,0,normal,normal,True
52,0,0,normal,normal,True
53,0,0,normal,normal,True
54,0,0,normal,normal,True
55,0,0,normal,normal,True
56,0,0,normal,normal,True
57,0,0,normal,normal,True
58,0,0,normal,normal,True
59,0,0,normal,normal,True
60,0,0,normal,normal,True
61,0,0,normal,normal,True
62,0,0,normal,normal,True
63,0,0,normal,normal,True
64,0,0,normal,normal,True
65,0,0,normal,normal,True
66,0,0,normal,normal,True
67,0,0,normal,normal,True
68,0,0,normal,normal,True
69,0,0,normal,normal,True
70,0,0,normal,normal,True
71,0,0,normal,normal,True
72,0,0,normal,normal,True
73,0,0,normal,normal,True
74,0,0,normal,normal,True
75,0,0,normal,normal,True
76,0,0,normal,normal,True
77,0,0,normal,normal,True
78,0,0,normal,normal,True
79,0,0,normal,normal,True
80,0,0,normal,normal,True
81,0,0,normal,normal,True
82,0,0,normal,normal,True
83,0,0,normal,normal,True
84,0,0,normal,normal,True
85,0,0,normal,normal,True
86,0,0,normal,normal,True
87,0,0,normal,normal,True
88,0,0,normal,normal,True
89,0,0,normal,normal,True
90,0,0,normal,normal,True
91,0,0,normal,normal,True
92,0,0,normal,normal,True
93,0,0,normal,normal,True
94,0,0,normal,normal,True
95,0,0,normal,normal,True
96,0,0,normal,normal,True
97,0,0,normal,normal,True
98,0,0,normal,normal,True
99,0,0,normal,normal,True
100,0,0,normal,normal,True
101,0,0,normal,normal,True
102,0,0,normal,normal,True
103,0,0,normal,normal,True
104,0,0,normal,normal,True
105,0,0,normal,normal,True
106,0,0,normal,normal,True
107,0,0,normal,normal,True
108,0,0,normal,normal,True
109,0,0,normal,normal,True
110,0,0,normal,normal,True
111,0,0,normal,normal,True
112,0,0,normal,normal,True
113,0,0,normal,normal,True
114,0,0,normal,normal,True
115,0,0,normal,normal,True
116,0,0,normal,normal,True
117,0,0,normal,normal,True
118,0,0,normal,normal,True
119,0,0,normal,normal,True
120,0,0,normal,normal,True
121,0,0,normal,normal,True
122,0,0,normal,normal,True
123,0,0,normal,normal,True
124,0,0,normal,normal,True
125,0,0,normal,normal,True
126,0,0,normal,normal,True
127,0,0,normal,normal,True
128,0,0,normal,normal,True
129,0,0,normal,normal,True
130,0,0,normal,normal,True
131,0,0,normal,normal,True
132,0,0,normal,normal,True
133,0,0,normal,normal,True
134,0,0,normal,normal,True
135,0,0,normal,normal,True
136,0,0,normal,normal,True
137,0,0,normal,normal,True
138,0,0,normal,normal,True
139,0,0,normal,normal,True
140,0,0,normal,normal,True
141,0,0,normal,normal,True
142,0,0,normal,normal,True
143,0,0,normal,normal,True
144,0,0,normal,normal,True
145,0,0,normal,normal,True
146,0,0,normal,normal,True
147,0,0,normal,normal,True
148,0,0,normal,normal,True
149,0,0,normal,normal,True
150,0,0,normal,normal,True
151,0,0,normal,normal,True
152,0,0,normal,normal,True
153,0,0,normal,normal,True
154,0,0,normal,normal,True
155,0,0,normal,normal,True
156,0,0,normal,normal,True
157,0,0,normal,normal,True
158,0,0,normal,normal,True
159,0,0,normal,normal,True
160,0,0,normal,normal,True
161,0,0,normal,normal,True
162,0,0,normal,normal,True
163,0,0,normal,normal,True
164,0,0,normal,normal,True
165,0,0,normal,normal,True
166,0,0,normal,normal,True
