,Experiment,Model,Dataset,Config,Accuracy,F1 (macro),F1 (weighted),Balanced Acc,MCC,Training Time (s),Best Epoch
1,2026-01-15_09-43-58_physical_medium_xgboost,xgboost,physical,physical_medium,0.9871873093349604,0.8133951414659356,0.9865692811103491,0.8074677291257341,0.9640888231948704,1.7066113948822021,1
2,2026-01-15_09-37-32_physical_medium_knn,knn,physical,physical_medium,0.9792556436851739,0.8095371821027927,0.9806560577291704,0.8248514103017568,0.9450273666048844,0.005608081817626953,1
3,2026-01-14_23-01-46_physical_small_knn,knn,physical,physical_small,0.9774252593044539,0.8007411811766173,0.9785739169993838,0.823491049895467,0.9402227687643214,0.0035920143127441406,1
4,2026-01-14_23-38-28_physical_small_tab_transformer,transformer,physical,physical_small,0.9682733374008542,0.8001454778011028,0.9705635140405662,0.8249672442887804,0.9187767501466445,40.72464871406555,20
5,2026-01-15_09-41-11_physical_medium_random_forest,forest,physical,physical_medium,0.9694935936546675,0.7936382732220268,0.9697706533386398,0.8149645876974914,0.9197661662625878,0.4638557434082031,1
6,2026-01-14_21-23-07_physical_small_attention_mlp,mlp,physical,physical_small,0.9048200122025626,0.7258818744017578,0.9178626585932865,0.8106481977136429,0.7945603238072166,35.195557832717896,19
7,2026-01-14_23-14-32_physical_small_mlp,mlp,physical,physical_small,0.8785845027455765,0.6888816283010555,0.8955327164254604,0.7988040347522171,0.7514875454839285,22.719808101654053,17
8,2026-01-14_22-00-45_physical_small_ft_transformer,transformer,physical,physical_small,0.8401464307504576,0.6593113914316282,0.8597579588208327,0.7970479924275254,0.7003873924276922,56.14727210998535,18
9,2026-01-14_23-39-57_physical_small_xgboost,xgboost,physical,physical_small,0.8676021964612569,0.6411851444992277,0.8827485687178481,0.790571537092274,0.728739710199609,0.5908350944519043,1
10,2026-01-14_23-16-06_physical_small_random_forest,forest,physical,physical_small,0.6101281269066504,0.4686665651704001,0.6625931229337517,0.7242001177624552,0.4779258876010428,0.17337441444396973,1
